word, real stem, stem guess, correct?
adı, ad, adı, false
durum, durum, durum, true
insanların, insan, insanları, false
eder, et, eder, false
sürekli, sürekli, süre, false
dünyanın, dünya, dünya, true
bize, biz, biz, true
çocuk, çocuk, çocuk, true
hangi, hangi, hangi, true
kadın, kadın, kadın, true
yapmak, yap, ya, false
gerekli, gerek, gerekli, false
ona, o, ona, false
sistemi, sistem, sistemi, false
kurulu, kurul, kurulu, false
yönelik, yönelik, yönelik, true
gerekir, gerek, gerekir, false
anda, an, anda, false
geldi, gel, geldi, false
göz, göz, göz, true
vardı, var, var, true
nda, nda, nda, true
kolay, kolay, kolay, true
tarihi, tarih, tarihi, false
yaklaşık, yaklaşık, ya, false
belediye, belediye, belediye, true
ana, ana, ana, true
konuda, konu, konuda, false
ayrı, ayrı, ayrı, true
gelir, gelir, gelir, true
merkezi, merkez, merkezi, false
veren, ver, ve, false
te, te, te, true
daki, daki, da, false
çıkan, çık, çıkan, false
belli, belli, belli, true
türlü, türlü, türlü, true
üzerinden, üzer, üzerinde, false
gerçekten, gerçekten, gerçek, false
bunlar, bu, bu, true
beni, ben, ben, true
başladı, başla, başladı, false
sizin, siz, sizin, false
söyledi, söyle, söyledi, false
birkaç, birkaç, bir, false
siz, siz, siz, true
destek, destek, de, false
boyunca, boy, boyunca, false
dolayı, dolayı, dolayı, true
ekonomik, ekonomik, ekonomik, true
nedeniyle, neden, neden, true
hale, hal, hale, false
film, film, film, true
konu, konu, konu, true
açısından, açı, açısından, false
durumda, durum, durum, true
web, web, web, true
yoktur, yok, yok, true
oluyor, ol, oluyor, false
zor, zor, zor, true
bundan, bu, bu, true
takip, takip, takip, true
kendini, kendi, kendi, true
hızlı, hız, hızlı, false
yi, yi, yi, true
haline, hal, haline, false
nedenle, neden, neden, true
parti, parti, parti, true
ankara, ankara, ankara, true
ortak, ortak, ortak, true
uluslararası, ulus, uluslararası, false
sonunda, sonunda, sonunda, true
sayesinde, saye, sayesinde, false
iç, iç, iç, true
tamamen, tamamen, tam, false
yanında, yan, ya, false
tercih, tercih, tercih, true
verilen, veri, ve, false
olacaktır, ol, olacak, false
hareket, hareket, hareket, true
na, na, na, true
bunların, bu, bunları, false
örneğin, örnek, örneğin, false
hafta, hafta, hafta, true
doğal, doğal, doğal, true
üniversitesi, üniversite, üniversitesi, false
sahibi, sahip, sahibi, false
başarılı, başarı, başarılı, false
halinde, hal, halinde, false
sıra, sıra, sıra, true
genç, genç, genç, true
milli, milli, mi, false
kontrol, kontrol, kontrol, true
üst, üst, üst, true
böylece, böylece, böyle, false
kürt, kürt, kürt, true
kötü, kötü, kötü, true
kitap, kitap, ki, false
tür, tür, tür, true
insanın, insan, insanı, false
ürün, ürün, ürün, true
arasındaki, ara, arasında, false
çalışan, çalış, çalışan, false
teknik, teknik, tek, false
geniş, geniş, geniş, true
dr., dr, dr., false
yüzden, yüz, yüzde, false
ettiği, et, etti, false
herkes, herkes, her, false
güvenlik, güvenlik, güvenlik, true
kişinin, kişi, kişi, true
proje, proje, proje, true
ele, el, ele, false
deki, dek, de, false
madde, madde, madde, true
sırasında, sıra, sıra, true
yerde, yer, yer, true
com, com, com, true
ilişkin, ilişkin, ilişkin, true
sık, sık, sık, true
adlı, ad, adlı, false
the, the, the, true
mevcut, mevcut, mevcut, true
alanya, alanya, alan, false
hava, hava, hava, true
savaş, savaş, savaş, true
el, el, el, true
haber, haber, haber, true
arada, ara, arada, false
kültür, kültür, kültür, true
ciddi, ciddi, ciddi, true
halk, halk, halk, true
güçlü, güç, güçlü, false
dünyada, dünya, dünya, true
adına, ad, adı, false
onların, o, onların, false
derece, derece, de, false
kullanılan, kul, kullanılan, false
almak, al, almak, false
içine, iç, için, false
onlar, o, onlar, false
orta, orta, orta, true
yanlış, yanlış, ya, false
yaşam, yaşam, ya, false
şeklinde, şekil, şeklinde, false
geliyor, gel, geliyor, false
ülke, ülke, ülke, true
enerji, enerji, en, false
ev, ev, ev, true
siyasi, siyasi, siyasi, true
bazen, bazen, bazen, true
sonucu, sonuç, sonucu, false
islam, i̇slam, islam, false
bilim, bilim, bilim, true
oyun, oyun, oyun, true
yapılacak, yap, ya, false
kalan, kal, kalan, false
iletişim, iletişim, ile, false
itibaren, itibaren, itibaren, true
dolayısıyla, dolayısıyla, dolayı, false
tabi, tabi, tabi, true
oluşan, oluş, oluşan, false
yazı, yazı, yaz, false
başına, baş, başına, false
eylül, eylül, eylül, true
çoğu, çok, çoğu, false
gerekiyor, gerek, gerekiyor, false
dış, dış, dış, true
bulunduğu, bulun, bu, false
yanı, yan, yan, true
dört, dört, dört, true
ederek, et, eder, false
yardım, yardım, ya, false
u, u, u, true
evet, evet, eve, false
örnek, örnek, örnek, true
verdi, ver, ve, false
sorun, sorun, sorun, true
dönemde, dönem, dönemde, false
uygulama, uygulama, uygulama, true
birliği, birlik, bir, false
yabancı, yabancı, ya, false
ün, ün, ün, true
beraber, beraber, beraber, true
tl, tl, tl, true
resmi, resmi, resmi, true
anadolu, anadolu, ana, false
verdiği, ver, verdi, false
hala, hâlâ, hala, false
n, n, n, true
dahil, dahil, dahi, false
deniz, deniz, den, false
sistem, sistem, sistem, true
bunları, bu, bunlar, false
alt, alt, alt, true
meydana, meydan, meydana, false
yardımcı, yardımcı, yardım, false
amacıyla, amaç, ama, false
sen, sen, sen, true
doğu, doğu, doğu, true
yana, yan, yan, true
google, google, google, true
müzik, müzik, müzik, true
tarihinde, tarih, tarihi, false
günlük, günlük, gün, false
mutlaka, mutlaka, mutlaka, true
erkek, erkek, erkek, true
ali, ali, ali, true
yere, yer, yer, true
mücadele, mücadele, mücadele, true
yandan, yan, ya, false
aldı, al, aldı, false
beri, beri, beri, true
onları, o, onları, false
henüz, henüz, henüz, true
il, il, il, true
on, on, on, true
cevap, cevap, cevap, true
olmadığı, ol, olmadığı, false
yada, yad, ya, false
yaptı, yap, ya, false
gelecek, gelecek, gelecek, true
bi, bir, bi, false
normal, normal, normal, true
aldığı, al, aldı, false
adam, adam, adam, true
halde, hal, halde, false
güç, güç, güç, true
yolu, yol, yol, true
adet, adet, adet, true
şeyler, şey, şey, true
ön, ön, ön, true
sayısı, sayı, sayısı, false
başkan, başkan, başka, false
toplam, toplam, toplam, true
dil, dil, dil, true
yıllık, yıllık, yıl, false
gece, gece, gece, true
amerika, amerika, amerika, true
yoksa, yok, yok, true
sanat, sanat, sanat, true
hak, hak, hak, true
görev, görev, göre, false
kaç, kaç, kaç, true
hayat, hayat, hayat, true
kendisine, kendi, kendi, true
of, of, of, true
mustafa, mustafa, mustafa, true
irak, irak, irak, true
yılı, yıl, yıl, true
net, net, ne, false
çıktı, çık, çıktı, false
atatürk, atatürk, atatürk, true
tedavi, tedavi, tedavi, true
askeri, askeri, askeri, true
yaşayan, yaşa, ya, false
varsa, var, var, true
ulusal, ulusal, ulusal, true
bizi, biz, biz, true
demek, de, de, true
çin, çin, çin, true
toplum, toplum, toplum, true
bilgisayar, bilgisayar, bilgi, false
fark, fark, fark, true
grup, grup, grup, true
yemek, yemek, yemek, true
birinci, bir, biri, false
biçimde, biçim, biçimde, false
kendine, kendi, kendi, true
yeterli, yeterli, yeterli, true
izin, izin, izin, true
ileri, ileri, ile, false
altına, alt, altına, false
tarih, tarih, tarih, true
olmuş, ol, olmuş, false
mehmet, mehmet, mehmet, true
kendisi, kendi, kendi, true
istiyorum, iste, istiyorum, false
araştırma, araştır, araştırma, false
zorunda, zor, zor, true
isteyen, iste, isteyen, false
işe, iş, iş, true
olmuştur, ol, olmuş, false
yalnızca, yalnızca, ya, false
ekim, ekim, ekim, true
durumu, durum, durum, true
kimse, kimse, ki, false
fotoğraf, fotoğraf, fotoğraf, true
benzer, benzer, ben, false
olmadığını, ol, olmadığı, false
mayıs, mayıs, mayıs, true
başlayan, başla, başlayan, false
genellikle, genellikle, genel, false
başında, baş, başında, false
toplumsal, toplum, toplum, true
yıllarda, yıl, yıl, true
önceki, önce, önce, true
osmanlı, osmanlı, osmanlı, true
kasım, kasım, kasım, true
sene, sene, sen, false
gerektiğini, gerek, gerektiğini, false
sonuç, sonuç, sonuç, true
kamu, kamu, kamu, true
vermek, ver, ve, false
sizi, siz, sizi, false
işi, iş, iş, true
dair, dair, da, false
tabii, tabii, tabi, false
karşısında, karşı, karşı, true
öncelikle, öncelik, önce, false
işçi, işçi, iş, false
edilir, et, edilir, false
bilgiler, bilgi, bilgi, true
nedir, ne, ne, true
aile, aile, aile, true
ihtiyaç, ihtiyaç, ihtiyaç, true
ä, ä, ä, true
şeyi, şey, şey, true
batı, batı, batı, true
edilmesi, et, edilmesi, false
etkili, etki, etkili, false
başta, baş, başta, false
ilgi, ilgi, ilgi, true
orada, ora, orada, false
peki, peki, pek, false
değer, değer, de, false
yoğun, yoğun, yoğun, true
sayıda, sayı, sayıda, false
olursa, ol, olur, false
anne, anne, anne, true
ticaret, ticaret, ticaret, true
kişisel, kişi, kişi, true
türkçe, türkçe, türkçe, true
akp, akp, akp, true
basit, basit, basit, true
ses, ses, ses, true
hz, hz, hz, true
üretim, üretim, üretim, true
satın, satın, satın, true
önünde, ön, önünde, false
üye, üye, üye, true
onlara, o, onlara, false
chp, chp, chp, true
site, site, site, true
kendisini, kendi, kendi, true
mu, mu, mu, true
kan, kan, kan, true
dile, dil, dil, true
ağır, ağır, ağır, true
defa, defa, de, false
tanrı, tanrı, tanrı, true
okul, okul, okul, true
ahmet, ahmet, ahmet, true
uzak, uzak, uzak, true
aralık, aralık, aralık, true
arama, ara, arama, false
sonraki, sonra, sonra, true
israil, i̇srail, israil, false
yeri, yer, yer, true
sonrası, sonra, sonra, true
hazır, hazır, hazır, true
zarar, zarar, zarar, true
önem, önem, önem, true
yı, yı, yı, true
mutlu, mutlu, mutlu, true
olma, ol, olma, false
ilçe, ilçe, ilçe, true
yapı, yapı, ya, false
öğrenci, öğrenci, öğrenci, true
sağlıklı, sağlık, sağlık, true
anlamda, anlam, anlamda, false
ister, ister, ister, true
düşük, düşük, düşük, true
din, din, din, true
sayın, sayın, sayın, true
beş, beş, beş, true
sorunu, sorun, sorun, true
basın, basın, basın, true
modern, modern, modern, true
kapsamında, kapsam, kapsamında, false
bence, ben, ben, true
kur, kur, kur, true
diyor, de, diyor, false
tespit, tespit, tespit, true
alınan, alın, alınan, false
program, program, program, true
yönetimi, yönetim, yönetim, true
yapılması, yap, ya, false
ziyaret, ziyaret, ziyaret, true
dahi, dâhi, da, false
önüne, ön, önüne, false
bulunmaktadır, bulun, bu, false
ünlü, ünlü, ünlü, true
mart, mart, mart, true
yorum, yorum, yorum, true
takım, takım, takım, true
ediyorum, et, ediyor, false
spor, spor, spor, true
çevre, çevre, çevre, true
kayıt, kayıt, kayıt, true
çözüm, çözüm, çözüm, true
araya, ara, araya, false
asıl, asıl, asıl, true
bakanlığı, bakanlık, bakanlığı, false
izmir, i̇zmir, izmir, false
la, la, la, true
windows, windows, windows, true
bey, bey, bey, true
kullanarak, kullan, kullanarak, false
düzenlenen, düzen, düzenlenen, false
dönem, dönem, dönem, true
kim, kim, ki, false
kız, kız, kız, true
merkez, merkez, merkez, true
herkesin, herkes, herkes, true
rusya, rusya, rusya, true
ülkenin, ülke, ülke, true
elbette, elbette, elbette, true
teşekkür, teşekkür, teşekkür, true
kaynak, kaynak, kaynak, true
oysa, oysa, oysa, true
kişiler, kişi, kişi, true
s, s, s, true
olay, olay, olay, true
bilgileri, bilgi, bilgiler, false
reklam, reklam, reklam, true
sayılı, sayılı, sayılı, true
nedeni, neden, neden, true
insanları, insan, insanlar, false
beyaz, beyaz, bey, false
and, and, and, true
adım, adım, adı, false
olmasına, ol, olması, false
sonucunda, sonuç, sonucu, false
olmaz, ol, olmaz, false
dakika, dakika, daki, false
satış, sat, satış, false
yüz, yüz, yüz, true
m, m, m, true
kurum, kurum, kurum, true
üçüncü, üç, üç, true
doğum, doğum, doğu, false
bölümü, bölüm, bölümü, false
aşağıdaki, aşağı, aşağıdaki, false
asla, asla, asla, true
programı, program, program, true
güney, güney, gün, false
edecek, et, edecek, false
binlerce, bin, bin, true
ab, ab, ab, true
müslüman, müslüman, müslüman, true
sonrasında, sonra, sonrası, false
tasarım, tasarım, tasarım, true
kimi, kimi, kim, false
döneminde, dönem, döneminde, false
değişik, değişik, de, false
sabah, sabah, sabah, true
birisi, biri, biri, true
barış, barış, barış, true
çalışmaları, çalış, çalışmalar, false
kendilerine, kendi, kendi, true
canlı, canlı, canlı, true
günlerde, gün, gün, true
etkisi, etki, etkisi, false
üyesi, üye, üye, true
yavaş, yavaş, ya, false
grubu, grup, grubu, false
sağlayan, sağla, sağlayan, false
seçim, seçim, seçim, true
tan, tan, tan, true
yalnız, yalnız, ya, false
ara, ara, ara, true
giriş, gir, giriş, false
işlem, işlem, iş, false
almanya, almanya, almanya, true
durumunda, durum, durumu, false
neler, ne, ne, true
bilimsel, bilim, bilim, true
vb, vb, vb, true
teknoloji, teknoloji, tek, false
iddia, iddia, iddia, true
bağımsız, bağımsız, bağımsız, true
özelliği, özel, özel, true
alanda, alan, alan, true
video, video, video, true
görmek, gör, görmek, false
pkk, pkk, pkk, true
ayında, ay, ayında, false
gösteren, göster, gösteren, false
sivil, sivil, sivil, true
günümüzde, gün, günü, false
belirli, belirli, belirli, true
kat, kat, kat, true
kesinlikle, kesin, kesinlikle, false
milyar, milyar, mi, false
yaşanan, yaşa, ya, false
ek, ek, ek, true
dolu, dolu, dolu, true
gerekmektedir, gerek, gerekmektedir, false
çocuklar, çocuk, çocuk, true
edildi, et, edildi, false
dışı, dış, dışı, false
hakkı, hak, hakkı, false
haziran, haziran, haziran, true
alanında, alan, alan, true
ders, ders, de, false
meslek, meslek, meslek, true
işin, iş, işi, false
kemal, kemal, kemal, true
olumlu, olumlu, olumlu, true
facebook, facebook, facebook, true
c, c, c, true
et, et, et, true
üzerindeki, üzer, üzerinde, false
ortadan, orta, ortadan, false
mesela, mesela, mesela, true
kendilerini, kendi, kendi, true
sağlar, sağla, sağlar, false
cumhuriyet, cumhuriyet, cumhuriyet, true
hayata, hayat, hayat, true
hizmeti, hizmet, hizmet, true
olumsuz, olumsuz, olumsuz, true
prof., prof, prof., false
demektir, de, demek, false
kredi, kredi, kredi, true
konuştu, konuş, konuştu, false
neredeyse, neredeyse, ne, false
yerel, yerel, yere, false
talep, talep, talep, true
çıkar, çıkar, çıkar, true
rahat, rahat, rahat, true
dolar, dolar, dolar, true
kesin, kesin, kesin, true
düşünüyorum, düşün, düşünüyorum, false
doğrudan, doğrudan, doğru, false
sebep, sebep, sebep, true
etme, et, etme, false
edilmiş, et, edilmiş, false
iran, i̇ran, iran, false
siyasal, siya, siyasal, false
aşırı, aşırı, aşırı, true
temmuz, temmuz, temmuz, true
bölge, bölge, bölge, true
arası, ara, arası, false
teslim, teslim, teslim, true
yola, yol, yol, true
pazar, pazar, pazar, true
içindeki, iç, içinde, false
belediyesi, belediye, belediye, true
lazım, lazım, la, false
hakları, hak, hakları, false
öğretim, öğretim, öğretim, true
sanki, sanki, sanki, true
olduğuna, ol, olduğu, false
kararı, karar, karar, true
amerikan, amerikan, amerika, false
hepsi, hep, hep, true
hayır, hayır, hayır, true
sınıf, sınıf, sınıf, true
ücretsiz, ücret, ücretsiz, false
değerli, değer, değer, true
yazılım, yazılım, yazılı, false
sırada, sıra, sıra, true
sol, sol, sol, true
birden, birden, bir, false
verir, ver, veri, false
amacı, amaç, ama, false
altı, altı, altı, true
bilinen, bil, bilinen, false
alanı, alan, alan, true
etmeye, et, etmeye, false
etmiş, et, etmiş, false
idi, i, idi, false
derneği, dernek, de, false
araç, araç, araç, true
şehir, şehir, şehir, true
yaz, yaz, ya, false
alıp, al, alıp, false
soru, soru, soru, true
medya, medya, medya, true
edip, et, edip, false
kişilerin, kişi, kişiler, false
can, can, can, true
yılda, yıl, yıl, true
ülkede, ülke, ülke, true
devletin, devlet, devlet, true
ocak, ocak, ocak, true
tane, tane, tane, true
nisan, nisan, nisan, true
birer, bir, bir, true
yıldır, yıl, yıl, true
öne, ön, öne, false
alır, al, alır, false
yıllar, yıl, yıl, true
sıcak, sıcak, sıcak, true
not, not, not, true
etmektedir, et, etmek, false
alarak, al, alarak, false
yaş, yaş, ya, false
boş, boş, boş, true
demokratik, demokratik, de, false
li, li, li, true
savaşı, savaş, savaş, true
ürünleri, ürün, ürün, true
oldukları, ol, oldukları, false
kısmı, kısım, kısmı, false
kitabı, kitap, ki, false
çalışmalar, çalış, çalışma, false
sağlamak, sağla, sağlamak, false
erken, erken, erken, true
ağustos, ağustos, ağustos, true
isimli, isim, isimli, false
dünyaya, dünya, dünya, true
belirten, belirt, belirten, false
sinema, sinema, sinema, true
insanlara, insan, insanlar, false
baş, baş, baş, true
gizli, gizli, gizli, true
başbakan, başbakan, başbakan, true
giderek, git, giderek, false
günde, gün, gün, true
gücü, güç, gücü, false
aylık, aylık, aylık, true
yerinde, yer, yer, true
kaldı, kal, kaldı, false
müdürü, müdür, müdürü, false
eğitimi, eğitim, eğitim, true
giden, git, giden, false
anlamına, anlam, anlamına, false
projesi, proje, proje, true
eve, ev, ev, true
yazar, yazar, ya, false
yapmış, yap, ya, false
turizm, turizm, turizm, true
ülkemizde, ülke, ülke, true
merak, merak, merak, true
yapılır, yap, ya, false
olanlar, ol, olan, false
özellikleri, özel, özellikle, false
içi, iç, içi, false
sana, san, sana, false
cinsel, cin, cinsel, false
vs, vs, vs, true
adını, ad, adı, false
sona, son, sona, false
kullanımı, kullanım, kullanımı, false
akşam, akşam, akşam, true
yaparak, yap, ya, false
sitesi, site, site, true
esas, esas, esas, true
oy, oy, oy, true
genelde, genelde, genel, false
başlar, başla, başlar, false
gören, gör, göre, false
sanayi, sanayi, sanayi, true
ndan, ndan, nda, false
altın, altın, altın, true
yazılı, yazılı, yazı, false
kullanıcı, kul, kullanıcı, false
alıyor, al, alıyor, false
servis, servis, servis, true
the, the, the, true
yapmaya, yap, ya, false
önceden, önceden, önce, false
kullanım, kullanım, kullanım, true
müdürlüğü, müdürlük, müdürlüğü, false
yan, yan, ya, false
å, å, å, true
zengin, zengin, zengin, true
küresel, küre, küresel, false
hızla, hız, hızla, false
dün, dün, dün, true
bol, bol, bol, true
fikir, fikir, fikir, true
bend
